ListSizes,TestResult
0,0
1000,4
2000,1
3000,2
4000,2
5000,3
6000,10
7000,4
8000,12
9000,5
10000,12
11000,10
12000,12
13000,14
14000,15
15000,13
16000,16
17000,20
18000,16
19000,18
20000,21
21000,19
22000,19
23000,25
24000,24
25000,24
26000,27
27000,24
28000,29
29000,29
30000,28
31000,25
32000,35
33000,33
34000,33
35000,33
36000,38
37000,32
38000,40
39000,38
40000,39
41000,43
42000,40
43000,45
44000,43
45000,41
46000,47
47000,46
48000,46
49000,48
50000,50
51000,47
52000,51
53000,48
54000,51
55000,56
56000,50
57000,53
58000,57
59000,62
60000,58
61000,59
62000,60
63000,58
64000,65
65000,64
66000,65
67000,66
68000,67
69000,70
70000,69
71000,73
72000,71
73000,69
74000,73
75000,72
76000,70
77000,72
78000,77
79000,74
80000,79
81000,76
82000,77
83000,82
84000,80
85000,84
86000,86
87000,82
88000,89
89000,89
90000,91
91000,93
92000,86
93000,93
94000,101
95000,89
96000,99
97000,95
98000,96
99000,100
100000,97
101000,101
102000,102
103000,97
104000,102
105000,111
106000,102
107000,115
108000,111
109000,104
110000,109
111000,109
112000,115
113000,113
114000,107
115000,110
116000,114
117000,111
118000,116
119000,120
120000,119
121000,117
122000,120
123000,120
124000,120
125000,125
126000,124
127000,117
128000,130
129000,134
130000,130
131000,132
132000,138
133000,127
134000,136
135000,132
136000,137
137000,134
138000,134
139000,133
140000,141
141000,140
142000,138
143000,144
144000,145
145000,142
146000,140
147000,148
148000,144
149000,148
150000,147
151000,141
152000,143
153000,154
154000,149
155000,155
156000,152
157000,157
158000,156
159000,159
160000,150
161000,155
162000,159
163000,149
164000,160
165000,163
166000,164
167000,166
168000,166
169000,169
170000,171
171000,173
172000,170
173000,165
174000,166
175000,175
176000,177
177000,177
178000,175
179000,180
180000,178
181000,174
182000,184
183000,182
184000,192
185000,184
186000,182
187000,182
188000,186
189000,186
190000,185
191000,192
192000,188
193000,193
194000,194
195000,191
196000,197
197000,198
198000,195
199000,198
