K,TestResult
0,0
1000,230
2000,248
3000,255
4000,273
5000,264
6000,277
7000,275
8000,282
9000,278
10000,277
11000,282
12000,278
13000,290
14000,294
15000,307
16000,286
17000,283
18000,293
19000,297
20000,288
21000,290
22000,293
23000,297
24000,287
25000,297
26000,303
27000,304
28000,305
29000,307
30000,304
31000,316
32000,304
33000,320
34000,306
35000,304
36000,324
37000,321
38000,313
39000,310
40000,312
41000,317
42000,320
43000,328
44000,332
45000,328
46000,315
47000,320
48000,330
49000,323
50000,324
51000,323
52000,319
53000,319
54000,312
55000,315
56000,321
57000,327
58000,322
59000,312
60000,329
61000,343
62000,321
63000,323
64000,321
65000,324
66000,319
67000,336
68000,326
69000,332
70000,322
71000,332
72000,340
73000,334
74000,330
75000,331
76000,329
77000,332
78000,341
79000,333
80000,333
81000,334
82000,353
83000,353
84000,340
85000,330
86000,334
87000,342
88000,341
89000,352
90000,358
91000,336
92000,334
93000,341
94000,330
95000,332
96000,347
97000,344
98000,335
99000,332
100000,333
101000,337
102000,338
103000,357
104000,334
105000,343
106000,351
107000,348
108000,345
109000,347
110000,342
111000,348
112000,342
113000,344
114000,359
115000,348
116000,350
117000,353
118000,347
119000,353
120000,341
121000,355
122000,350
123000,354
124000,340
125000,354
126000,334
127000,340
128000,347
129000,362
130000,349
131000,340
132000,341
133000,340
134000,340
135000,360
136000,351
137000,354
138000,343
139000,338
140000,356
141000,368
142000,349
143000,352
144000,360
145000,364
146000,351
147000,363
148000,350
149000,353
150000,357
151000,356
152000,347
153000,349
154000,341
155000,351
156000,351
157000,348
158000,352
159000,345
160000,345
161000,351
162000,346
163000,342
164000,371
165000,355
166000,356
167000,360
168000,360
169000,376
170000,364
171000,367
172000,353
173000,354
174000,375
175000,367
176000,366
177000,361
178000,362
179000,363
180000,372
181000,357
182000,353
183000,364
184000,362
185000,359
186000,369
187000,365
188000,362
189000,348
190000,354
191000,374
192000,351
193000,358
194000,347
195000,360
196000,359
197000,370
198000,358
199000,349
