DictionarySize,Test1Result,Test2Result,Test3Result
0,0,0,0
1000,0,0,0
2000,0,0,0
3000,7,9,3
4000,3,4,0
5000,3,0,7
6000,7,7,7
7000,9,1,6
8000,12,0,3
9000,16,9,0
10000,13,10,1
11000,22,9,9
12000,24,6,15
13000,32,12,6
14000,28,10,14
15000,35,7,9
16000,41,14,15
17000,43,14,11
18000,50,14,6
19000,54,16,12
20000,66,16,16
21000,87,25,24
22000,90,31,21
23000,96,31,25
24000,116,38,20
25000,117,40,23
26000,129,45,28
27000,151,36,22
28000,157,48,17
29000,153,43,22
30000,173,44,22
31000,187,51,28
32000,202,55,24
33000,209,49,33
34000,223,57,28
35000,241,54,32
36000,255,66,36
37000,276,60,30
38000,283,72,32
39000,317,75,37
40000,322,78,28
41000,443,104,48
42000,449,117,47
43000,484,113,51
44000,496,121,52
45000,539,126,46
46000,572,125,52
47000,537,134,50
48000,607,133,55
49000,618,143,54
50000,641,144,54
51000,679,150,48
52000,740,157,49
53000,772,166,56
54000,783,165,56
55000,807,173,59
56000,857,178,60
57000,898,191,47
58000,916,191,58
59000,969,198,62
60000,1042,204,57
61000,1062,203,59
62000,1069,216,53
63000,1122,221,58
64000,1179,234,51
65000,1254,238,53
66000,1272,250,55
67000,1260,249,65
68000,1234,259,58
69000,1395,280,66
70000,1459,291,58
71000,1546,293,62
72000,1447,304,63
73000,1591,311,67
74000,1605,320,63
75000,1683,329,59
76000,1706,347,60
77000,1811,343,68
78000,1846,348,66
79000,1947,363,70
